"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Belize","BLZ","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","4084800","4338910","5068965.7","4825894.4","5274044.5","4827053","9165985.1","20669097.4","33312767.1","71830514.1","63043521.2","60228528.7","69805336.4","100638089.8","98761894.3","118125320.2","121873478.7","137196602.4","132277165.4","137214241","142750749.7","161781662.7","180961169","194553505.8","198665305","255157967.5","281542136.1","450090458.6","333460184.2","416579339.1","629903800.8","721979991.7","849529037.9","1061730342.3","965854392.5","1023162269.1","1054232125.7","1075497698.7","1275782808","1291168230.7","1303876871.3","1274688747.1","1196357127.5","1248681027.9","1286357300.3","1279832151.2","1290298702.5","1338924309.2","1348898447.4","1377529086.7","1526004210.8","1450204243.3","1465237939.9","",
"Bermuda","BMU","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","716253874.1","693954454.3","809516354.4","851175724.6","946414912","1080565198.2","1360672695.7","1803420861.4","2238360353.6","2633582875.2","2784672649.8","3310315978.8","3422096975.7","4164917350.3","4412205630.3","4898177366.7","5670015389.5","5934538201.2","4997498695.1","4229853023.5","4369976028","4158857030.9","4332374230.3","4400366539","4965186858.3","5359275052.5","5275484513.9","5313085255.3","5688227905.2","5655151008.4","5892765188.4","4794042371.9","5107005795.5","5864138345.8","6284467791.5","6967641266.1","6255767963.5","5064781761.7","5701040187.5","5780325836.3","5776504655.7","6181999152.8","6617099947.7","8141786767.5","8884014490.4","9895204080.3","10994252972.4","12990057752.2","13248377783.1","14301150537.3","15420129053.6","16025613524","15930334885.1","",
"Brazil","BRA","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","5984162468.6","7726273573.1","11863655548.9","15066000213.8","22464958636","27781563139.4","33801318618.9","42500176105.4","55032094032.5","61795286977.7","71983934096.8","81914155928.9","94428719113.5","99022210538.2","104364922436.4","104173244270.1","109645181057.1","120476573202.5","118039405885","114930095027.7","120311895094.7","121336709129.8","129535948557.2","144599577124.3","152903103557.7","160964228343.5","181793526989.2","198980293495.1","241998415763.8","245114967226","242511685521.8","229959717402.1","231944181034.5","235907984168.4","220693592600.6","188364545589.9","194303018016.9","238444452622.6","262957236462.6","281651138432.4","352364412862.6","404046105342.1","440496598192.8","483734834011.9","556919631071.7","543397356309.8","543257228545.3","543000470110.9","557765380774.6","568708887352.2","549300435898.2","571506915117.1","578599020063.3","",
"Barbados","BRB","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","325908.8","1143925.1","1764110.8","2731924.9","8833074.5","20953606.6","40242793.9","67083431.5","73855715.5","83545689.9","86339685.4","89198882.7","96619573","104507960.6","105769087.6","113040448.6","119619860","171042023.7","192034098.7","211571982.8","272712510.2","386049931.1","493626169.2","601316819.9","656602174.2","721112613.6","801238273.2","693075804.2","786548880.3","934629272.1","1070492249.6","1449649027.4","1528150561","1841155641.3","2011104022.8","2289670352.4","2607950876.9","2551977085","2703804731.6","3036756638.4","3068867963.8","2960243054.4","",
"Botswana","BWA","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","17358400","33201565.7","74756512","114920842.5","134055048","147979450.1","166353134.3","185561932.5","125537379.1","130018668","135629101.5","159540360.1","204807763.8","228122753.2","266914783.7","345662733.4","407035314.5","543402800.4","532601060.4","549840386.8","552920438.5","612559218.7","606348584.4","663983873","700397765.1","717153185","626530347.7","574727348","532169048.7","510191242.4","452434627.4","400352880.4","491350071","514126449.3","515796292.8","460538960.4","364731487.2","425189546.8","448508779.9","1643300883.2","1806938426.7","2395188968.7","2526373031.3","2388279492.2","2499532552.1","2236640614.3","2126448971.8","1741386786.6","1782037130.2","1565096393.6","1597427934.6","1981527906.4","1968480647.3","",
"Central African Republic","CAF","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","24142239.5","28420020.5","36809736.2","56151760.7","68570794","79160192.1","94577875.7","131960067.2","142360554.6","157822458.1","194665446.9","233383987.6","253472380.5","257907897.6","263621787.4","343526726.1","461863128.5","617836345.5","668836055.3","693537146.4","698505035.4","794180184","813886188.5","875128942.6","888050750.8","945983160.3","932746933.3","882958613.1","918825268.8","924194362.5","869008795.3","834810718.1","1083576140.7","1064243826","1116732591.6","1044778987.1","1049101554.1","1029858389.6","998708752.1","550619216","634315034.6","571183516.3","577205381.3","597631051.4","661613485.4","690626853.7","694648759","721865032.8","784431039.9","848332900.5","899190573.4","1118042890.7","1018228456.5","",
"Canada","CAN","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","5798013609.4","8359968254.8","9611696896","12088935352.5","16699215995.6","23719315917.2","35339526722.2","42438957562.4","44932469163.1","55301409898.8","60259186451.5","72538895534.7","86092752669.9","100667359411.3","118314843047","129037039407.6","146904623209.9","144214433291.8","148825573986.7","145906872763.7","184315443994.2","185465746540.1","207180503978.3","247359209017.2","285857036926.9","326419519861.6","377749152515.9","386423097229.7","454495613318.6","742737476056.6","1054209569422.7","1148164368937.8","1480476659937.3","1778380562695.9","1333768986063.5","1413904270462.7","1710819944231.6","1961562462976.8","2114161989828.3","2326232537961.7","2702248173084.8","2388742446960.7","",
"Cote d'Ivoire","CIV","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","373548111.5","514353853.5","579832810.3","863195403.9","1066224826.3","1464541780.7","1827774833.5","2572851391.8","3835985363.7","4772153135.7","7462430659.4","8140846170.9","8961395038.8","8858429060","8545882464","9658933260.7","11449812391","13577082328.8","13342278908.3","14820639273.8","17251135160","18174037181.8","18546521961.1","19070886308.1","17395169456.9","18898425486.5","19523620342.2","15608687763.3","14851815127.1","13221902540.7","12059905375.8","11620368633.5","11708673980.2","11680518563.4","13178855340.3","12010684931.6","13644008874.8","14385487798.1","12967578597.9","14895852333.1","11703427489.9","12791036139.9","9543206491.6","9855297626.3","9805804583.5","11387731266.8","11457186653.5","13449134231.4","16197579095.1","19831484538.4","25245720344.7","29895086912","31959962223.5","",
"Cameroon","CMR","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","145926448.1","180102180.3","221568381.9","265900308.6","323585813.7","441409824.4","610919470","1112883432.3","1529103944.1","2172010618.9","2572800048.4","2646367541.9","2802933669.6","2895588378.1","2895906089.6","3161506000.8","4137225986","4588512728.7","4812725442.2","5364587527.1","6562505108","6767223905.9","7514931937.2","7745306458.5","9358516039","10953419023.3","11074529701.3","10751459761.8","11317978713.1","10765384769.6","10561281361.4","9748844313","10285903206","11408147625.6","10855782708.2","7700089817.9","3418558775.7","3085552120.7","2835553588.4","3237320906.9","3190178368.7","3094521348.4","3887899904.7","5177990160","5765541169.1","7304904667","7890233642.2","10048676392.2","11003804939.8","12924439475.8","14720283846.3","15373626442.9","15095520460.9","",
"Congo, Dem. Rep.","COD","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","345217589.6","410049468.9","676590008.1","1046506468.9","1538500031.9","2038607507.3","2918448483.2","3661969554","4491696535","4527133846","4770687541.2","5090789469","5078792918.5","5335734298.6","5289765975.5","6171267764.4","7190751346.9","8749837481.9","8553690732.6","9243644818.9","10250731587","10831930650.9","10995017088.9","11263657313.4","12311690430.3","13229233701.9","12819900506.7","12326993316.6","13192158065.4","12155730264.7","11804397525.6","11612181086.8","10051613856","11433512788","11524216857.1","10683990345.3","11326304418.6","12459468772.6","13196407089.8","14093042023.2","6127402045.6","5564480445.3","5806509181.5","6423232451.7","6150645726.3","5996709515.5","5690740595.9","5819657762.1","5826110288.1","6487300434.2","7084444448.6","9186211932.9","9432253639.7","",
"Congo, Rep.","COG","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","118823126.3","139971709.7","158183945.8","189108209.7","260490120.6","357190252.8","381343477.1","578772687.5","782939134.2","1056884917.1","1527071937.9","1493614161.3","1959124338.3","2024885249.4","2062648691.1","3041335207.5","3504475080.8","4282641894.3","4050960428.6","4230144754","4916034648.2","4786605644.8","4725658540","5092940382.6","5414066741.8","6009994883.9","5220897392.4","5032532283.5","5100294660.3","5028225458.1","4675949721.5","4820677198.8","5012243895.3","5537629589.3","6834196169.1","6294723995.9","6685623799.7","5281147795.4","5237381716","5054247770.7","2796299602.2","3191826925.7","3585365797.8","4201103943.7","5724086140.7","6776694503.4","6666379338.7","7327526314.8","7043574267.9","8397253562.3","8223741439.2","8254233304","7895122663","",
"Colombia","COL","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","2337070268.9","2635933295.3","2964726928.6","3326835665.2","3515017082.7","3934674960.3","4123797359.3","5232469210.6","5286643740.9","6056966897.1","7135607164.5","8925377457.4","10519983135.4","11639494606.6","12274130804.8","14474612765.2","15583214225.9","17237208187.3","17214277533.7","17075305862.5","17411174140.2","17383347947.8","17560822308.2","19227912007.6","22219527944.1","25347081126.7","29206623223.1","32277648233.6","33420800455.2","34845494450.5","34329248550.6","36614196486.3","33581481521.5","37324166936.2","38237909040.2","37497341480","38621303304.6","44323265169.8","47039916554.3","53678222227.4","64432098617.3","76162726605.4","79245410685.4","92638387678.3","104601742439.7","113361779932.3","120824097762","126089529330.1","133285356229.2","138941565031.8","155728184773.6","172107030882.6","184118051877","",
"Comoros","COM","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","1172240.8","1238316","1506741.7","1691961.4","4294057.5","4721546","18516825.3","24523586.4","29353464.9","40107759","43977472.9","54854843.4","68943862.9","85804560.1","104792039.2","134214350.2","166566409.2","203347529.5","199821386.3","174684281.4","184825142.1","179473164.4","187894213.8","185123541.7","197159439.1","208925905.4","220902346.9","222230696.3","229844128.3","231531804.5","232285377.4","242747448.1","270536977.6","289991668.2","304262777.8","288623246","293423707","287667291","276201185.1","286766514","278373937.8","275725988.2","252320769.6","142571305","136793606.4","125602671.9","175006571.8","181646215","240025939.8","259253198.6","296639093.2","350292378.6","368721651","",
"Cabo Verde","CPV","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","39376101.9","59016887.4","71696307","76251079.2","94918904.3","113301983.5","129541097.3","124352364","126041739.9","133755465","134240227.2","141994227","147571336.8","175919927.3","214117753.8","202637635.8","206529452.3","246754113.6","328538337","319703769.2","345641178.3","387894289.8","441401882.3","464179206.7","477481514.4","524173293.2","580581230.6","626141362.5","724585647.4","884895435.6","1041521701","1248874439.1","1492969491.1","1551105788.6","1550559211.7","1552092413.6","1790393204","1767959867.7","1822340821.3","2072584760.1","2060326348.2","2011233513.5","",
"Costa Rica","CRI","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","320105203.5","365557659.7","437425832.2","520728368.3","654052499.3","874274975","1075347725.7","1415430772.7","1784970817.9","2233305115.6","2863520188.2","3427581156.9","3766617904.5","4304505394.7","4110799976.6","4515709486.9","4689766359.3","4831924390","4632683952.5","4686482144.7","3845937733.1","4106608753.4","4014350297.7","3937428106","3971807626.7","3857695605","3528323424.1","3505532963.5","3961189288.2","4215090815.1","4692408663.5","4886538321.9","5070865565.3","5650888483.3","5710643831.6","6485430911.5","6993562813.7","8410942483.7","8838788690.4","7760168636.8","8154409880.2","10271452441.9","14310369459.3","17134572924.6","19722088699.2","23588779506.4","25562670955.2","25615909360.8","28369279758.1","29800758229","31269331814.7","34107656208.8","38946101897.4","",
"Caribbean small states","CSS","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
