"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Burundi","BDI","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","14970400.9","13628499","6895385.6","7780758.4","9437482","19378709.7","22365684.2","47221848.4","74679956.5","136189377","165719681.3","178613654.8","227431810.4","307726678.6","348008143.1","455096618.9","570430014.5","769586468.4","800694146.9","888845816.1","906936375.2","963475598.4","1026584699.6","1065645817.3","1127404969","1161951393.2","1130746660.3","1068957656.4","1121825243.5","1153732063.6","1125869260.9","1093536451","1232214637.4","1348337839.1","1357933155.3","1287893069.1","1371901889.5","1409730477.1","1390288828.7","607188101.8","620881162","605057004.8","663926347.2","680219691.9","691128126.4","626941607.8","603735776.7","607511362.7","585666019","625368017.3","662467566.7","975830735.5","954289431.9","",
"Belgium","BEL","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","43206645.9","51050106","47315754","90483938.2","108808916.9","119207923.7","141222202.2","212376218.6","283904950.1","453818384.5","474871020.5","543224056.1","758283071.1","798438969.5","762600512.6","902878842.8","1038615913.2","1244496821.6","1170205810","1070152454.6","1110830135.6","1149708001.3","1198996389.7","1270610521.6","1382104403.8","1396447482.6","1377472571.8","1411114792.3","1445070720.3","1498651602.2","1408369540.8","1478686367.1","1617365355.1","1483862655.7","1618065354.6","1557801170.5","660190318.4","902675890.4","998180197.5","1325336572.4","1596498354.5","1864410779.1","1673174365.2","1997570045.4","2041339868.7","2170545281.2","2258154533.2","2798768709.4","3589620963.8","3919943010.2","5259325040.3","6821309314.8","7307162249.4","",
"Burkina Faso","BFA","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","20789505.9","23598002.3","20015915.3","31067227.5","47354443.4","62537911.1","85306252","164285524.9","262707189","295034801.5","330416655.7","328158612.3","351832578.4","397717113.7","409962570.8","511100955.5","639696853.1","827502134.8","845249596.1","717259802.1","833673417.3","967441445.2","1039802411.9","1118907234.9","1135033979.4","1274258080.3","1301463551.1","1307801527.1","1470373375.7","1608245528.6","1446330172.4","1516006603.1","1564526409.9","1757847852.1","1944506311.9","2011339006.1","1142927904.9","1965861233.4","2669318923.8","3715932438.7","4799877861","5973120088.6","7434757337.4","8941849034","10298023832.9","12597759899.4","10248405381.9","12768155915.9","10621434777.5","9156789203.1","9755974315.3","10295692321.4","10380668431.5","",
"Bangladesh","BGD","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","146504255","497826100.3","1257484131.2","1680485423.5","1993989051.5","2331728887.3","2820088627","2967069235.7","3802228595.2","4209310810.8","4940329805.1","5346293426.4","5541814231.1","6530064193.2","7913829647.5","9737967442","10275887393.3","10701050528.9","12291780361.5","12997665568.6","13427954471.8","14125214056.8","15490545904.5","15734744113.2","15169074222.9","14257776105.5","15507392996.3","16449663349.3","15600564697.1","14978802400.8","16687587182.1","18440377575.4","19714073691.8","18503086016.3","20160932717.1","21523544177.4","23346917708.3","25377795050.4","26571755072","27046084648.2","29155976742.1","32454687016.8","35271839354.7","38704937144.2","41569252897.7","51068283464.6","57125459320.6","62468325028.8","73550857817.1","91477590071.6","97011656308.4","",
"Bulgaria","BGR","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","772737948","1313089665.2","1738593873","2583927136.9","3851537192.7","5866004143.2","8265581747","8943895641.4","10137085437.7","10889618418.3","11741672280.9","11838561986.7","12177634744.5","9828532996.1","10378823642.3","10368413941.5","11099448177.6","11404629614.5","11794851857.2","12008623065.1","11274814331.7","12313486729.7","14259733783.4","16620274377.5","18507353591.6","28007279111.5","43822454674.9","53067247242","55682965449.1","50697349714.5","47739502725.5","51428607356.1","51652240788.2","47074927807.1","40378595624.5","39994027753.1","40989144703.6","40103456193.4","40501402414.8","46867045226.7","44946801413.5","47206483345.4","",
"Bahrain","BHR","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2408825764.2","2791207814.6","2666165629","3166667572.8","4484507657.9","5517180308.8","7007652582.9","8616906730.2","11568599660.6","13108605424.7","14005774333.2","14289296947.8","12345114956.9","12998206080.9","13780032960.1","13082372491.1","11614129610","11630871769.5","13028529320.1","12935844519.7","12702643573.9","13865863814.9","13026483949.7","12884791160.9","",
"Belarus","BLR","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","968283686.2","1296124124.3","1693743257.4","1958924253.1","2082345263","2386480834.1","2703253741.5","2620196263.4","2798732256.7","3399007710","3779551001.2","4601438650.3","5300175946.7","6562099699.5","12526106963.9","15152844791","22078685409.7","28412146648.8","33932546340.5","33755733316","39573469218.4","40013829087.7","38257921211.1","37515947697.5","39584221158.1","38767563257","40734118642.4","41792363746.1","41653683788.2","39794026169.4","",
