"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Antigua and Barbuda","ATG","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","-9600000","-2200000","-19500000","-18800000","-32700000","-41600000","-9100000","600000","-23100000","-118285185.185185","-111285185.185185","-45037037.037037","-81648148.1481481","-30985185.1851852","-30922222.2222222","-9870370.37037037","15055555.5555556","-6344444.44444444","-518518.518518518","-59440740.7407407","-47374074.0740741","-46770370.3703704","-60425901.1111111","-71441645.9620411","-91170613.7844985","-84607717.9450344","-86828233.4494885","-64761939.0503259","-114398256.236039","-258690923.178123","-427654577.547059","-337074421.728114","-180970641.582571","-141181263.057124","-65308239.4086589","-110683227.906728","-116386897.276612","-522482.281353385","29237532.0456934","-35565937.3786204","-118135621.681583","-232510569.189999","-112310360.935504","-224038944.95332","-287547921.705432","-296146708.518519","-262097635.555556",
"Australia","AUS","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-18340091394.3267","-15532375781.5639","-10586162828.9367","-10313304564.5566","-9289520941.73122","-15863048787.8869","-18669238436.3801","-14404742352.5668","-11910492515.9163","-17780527378.192","-21795709492.9592","-15487273891.4343","-7986938465.21441","-16002234756.2014","-29307731701.3676","-41286950910.194","-43342943309.5636","-46289425987.1322","-64681627027.0504","-51560061986.895","-48539589762.5682","-45891335676.0543","-45473314445.3999","-68558659880.4378","-51027127122.774","-44851604483.8161","-57146704129.271","-41521105179.004","-36094440898.9767","-31888709226.758","4876229870.09164","31189027912.208","49091762935.8455","17740818272.5575","21383792854.7925",
"Austria","AUT","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6232945526.75516","10993883346.6651","14749054068.6708","19299052401.6223","10303724796.1584","11472431144.4443","6798975982.37963","6141933076.675","8379185904.99957","10589968447.784","6634070794.96652","10771582681.0117","5650780663.76803","4379291489.38652","10635667872.7","14913264657.6104","7769696381.09685","-1290105521.41509","13686374344.8601",
"Azerbaijan","AZE","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-400650000","-931182000","-915755000","-1364521000","-599703000","-167773000","-51755000","-768373000","-2020854000","-2589213000","167315000","3707605000","9018885000","16452805000","10174876000","15040436000","17144935000","14975987000","12231737000","10208803000","-222495000","-1363404000","1684559000","5974981030.41765","4193353386.00028","-316301456.700001","8202978327.4647","23478081000","8329368000",
"Burundi","BDI","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","-41287339.7507603","-36165024.2728363","-95230130.7151637","-70059475.0525303","-11489495.7983193","-69444226.8249421","-33275378.9796943","-59608454.3644824","-28115989.7849905","-16884183.4462969","10446132.7487663","-40010349.6873073","6129686.08465521","-48635466.082532","-21105733.6142841","-50162533.186557","-36713166.2826267","-3284988.16813338","-23902939.1660971","-32368607.5029521","-5698160.23298074","-133539415.109128","-111307028.885154","-259356226.222548","-161180586.838638","-300982004.173613","-283583270.335852","-261157248.520261","-258429277.175128","-395077161.965288","-373243823.096405","-339695286.751492","-373388923.277553","-362644693.882423","","","","","",
"Belgium","BEL","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11622181453.1175","10806024030.8729","11434413829.7617","7700999844.6651","7553988245.75266","7043546782.48594","-4300219760.99211","8777353551.11954","7337927601.44306","-10168977415.4153","-413616611.594466","5078944279.87186","4041465918.74956","6363243452.05937","2646800222.52573","3518201465.3279","-4743198689.98165","507274955.68176","7325132462.53067","8232713514.5739","-5303983150.37876","-6205460164.87951",
"Benin","BEN","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","-29272386.2364056","-53379894.4523907","-64816773.2295632","-56663211.3324013","-90332242.9954451","-51851799.2762188","-35722305.0095743","-93365958.0950257","-377165677.713171","-134792910.267868","-57072020.9863987","-38952687.9633603","-52843453.7562551","-34289873.3456143","-105492992.788566","-13422534.7957205","-18141163.3766882","-216384278.774854","-72712868.1184051","-58751760.311602","10551783.9561519","-166966769.151903","-40955332.7482757","-153955311.442302","-132511170.183925","-155633708.764086","-80783378.7502862","-74992412.5996497","-156932556.338638","-331950912.88913","-289010635.811166","-226174696.216704","-217198381.152852","-534763829.039851","-538190532.962479","-651546427.808673","-530854983.685428","-516838833.48928","-576935937.945258","-673366862.290831","-885799913.310537","-679200532.34774","-354241236.026224","-531029511.357376","-648824804.895264","-575592817.829541","-273966712.893492","-734659106.551426","","",
"Burkina Faso","BFA","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-634569356.697594","-543935799.582989","-560735672.476978","-967031300.298648","-381568168.07054","-181624984.081782","-160392828.487696","-162293548.741095","-1345544009.15847","-998954284.130947","-895400077.174337","-780222104.292462","-896284716.175945","-664796659.36633","-523837226.294833","743231869.870405","77255403.997201","-1403966910.70443","",
"Bangladesh","BGD","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","-276313647.413358","-280958219.54051","-383906631.134301","-415947091.675334","-702138190.804776","-1016620063.36091","-500670224.195334","-45800312.8961519","-477650344.929693","-455173414.815745","-625181389.19218","-237116009.329417","-272836596.925602","-1099566160.52061","-397909576.598945","64593233.3294282","180790960.390378","359263637.714099","199568821.474148","-823880196.636126","-991418974.99847","-286312953.221846","-35165989.3452837","-364355314.194405","-305831650.648","-535424727.721444","739250272.000126","131637632.009357","-278679383.745514","-173741535.952962","1196063083.00571","856792635.005175","926185438.562718","3556126394.04663","2108502536.74167","-161842538.678824","2575500680.61049","2058473420.43086","755790761.660141","2579621008.7762","931393867.987116","-5984992475.63152","-7095172568.14978","-2948537074.51494","1192771686.32568","-15775415833.0742","-14437645294.5495","4387571900.12179",
"Bulgaria","BGR","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","954000000","122000000","177000000","36000000","535000000","-136000000","-951000000","-720000000","-402000000","-769000000","-1710000000","-76900000","-359900000","-1098800000","-31800000","-25800000","15700000","426900000","-61912460.8485193","-652131909.298516","-703685705.88299","-804648255.3858","-319039031.090316","-1022155146.77236","-1671124319.58448","-3346998839.52149","-5863231595.24003","-11437006353.7621","-11875334885.4618","-4256328502.85846","-964620000","272490000","-528620000","678640000","747230000","-123190000","1560850000","1987340000","559360000","1263580000","-31230000","-1515830000","-591650000","-248130000",
"Bahrain","BHR","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","-203034134.520946","-360213095.393813","-324023759.191264","-387659590.11234","-222736117.099064","184350017.854612","429521277.738089","425558511.770102","102659574.741116","218351064.071754","38829787.2340426","-68882978.7234043","-201329787.234043","192021276.595745","-193085106.382979","69680851.0638298","-602659574.468085","-826595744.680851","-339361711.905368","-255585130.174148","237382283.230603","260424551.858666","-31063706.9366029","-777413136.252285","-36879302.8159754","830185016.496778","225932635.756962","-49630835.4412102","200443477.622728","471578624.337848","1474202077.29904","2187449378.74819","2906574539.71003","2256886835.2859","559975548.793245","770071855.488056","3247340425.53191","2577976351.45181","2409721033.47922","1523251102.70936","-752110737.115907","-1492819148.93617","-1600000000.00001","-2434574468.08511","-794414893.617024","-3244680851.06383","2602393617.02127","6838563829.78723","2699468085.10638",
"Bahamas, The","BHS","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","68100000","28900000","2400000","-42900000","-75300000","-139900000","-115400000","-100600000","-100300000","-2700000","23000000","-54800000","-66500000","-84200000","-36600000","-179800000","35800000","48660000","-42200000","-145900000","-263300000","-472100000","-995400000","-324397720","-632943000","-644960000","-423317708.657","-473510000","-307120000","-700637472.074333","-1403710000","-1315098058.99422","-1222077999.131","-808980000","-814043000","-1203144000","-1504802400","-1493926000","-1885283210.82194","-1203165342.8486","-710785521.587225","-1574646043.89026","-1115273820.73726","-345480921.341999","-2284500180.12589","-2433986829.6493","-1763090644.70329","",
"Bosnia and Herzegovina","BIH","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-345110797.325196","-501327188.269355","-395690107.590747","-742835136.58694","-1190656336.08945","-1631046469.80418","-1639327352.22514","-1844398185.9041","-998104071.96523","-1450133147.39097","-2643834901.20071","-1135255484.93022","-1030658645.30526","-1767324081.46204","-1485969668.54116","-968193561.138615","-1364226227.26117","-826025436.536401","-804268044.277049","-875777450.998187","-661764108.264733","-531916721.817284","-574322172.50311","-418984246.889286","-1065155750.70878","-760466538.991797",
"Belarus","BLR","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-435000000","-443800000","-458300000","-515900000","-859200000","-1016500000","-193700000","-459100000","-528800000.000001","-325700000.000003","-456100000","-1191900000","458600000.000001","-1387900000","-3012500000","-4958600000","-6132600000","-8280200000","-5052500000.00001","-1862200000.00001","-7567300000","-5227699999.99999","-1831100000","-1611800000","-952400000.000004","22900000.0000001","-1245800000","-178399999.999996","2157306620.31","2539462753.47","-1020268668.18",
"Belize","BLZ","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","-5300000","9050000","11950000","9400000","-2600000","-19050000","15350000","-25800000","-28600000","-48500000","-40057000","-17246500","-6645000","-31930000","-59847500","-72792094.885","-161571589.09375","-190365259.763734","-165323926.715384","-184286483.063725","-154923750.99123","-151221160.548999","-25383981.5972728","-52089996.9562386","-144877244.414546","-82838728.4884125","-45736663.0380745","-19948868.1395558","-33113119.8533949","-72586237.4931022","-135861423.197634","-174735548.353243","-163456303.425737","-158035030.343706","-150794400.020129","-184645704.683613","-127919787.239218","-157868365.156558","-235565536.314672","-90630403.3271164",
"Bermuda","BMU","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1252390000","1216066496.88519","906745097.485245","581361176.860677","695959070.333491","867596774.572382","926988024.756583","840649668.267983","817577700.834534","942896167.115709","845986384.579652","940200101.722923","888947064.461814","838701046.112249","853849630.433479","962257799.431355","","",
"Bolivia","BOL","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","-53500000","-117900000","-331500000","-397000000","-6400000","-467644936.799988","-173625000","-140834000","-177809000","-285300000","-388663000","-432236000","-304396000","-270100000","-198900000","-262600000","-533900000","-505500000","-90200000","-302500000","-379690000","-553500000","-666100000","-488000000","-446349903.97","-274011530.02828","-351932880.93811","75594887.4166634","337499451.331106","622439173.907653","1317472316.56231","1591246147.31376","1992699060.96837","813540000","873745670.09457","537204935.34069","1970039110.21655","1053982417.12107","566230700.557408","-1936209393.39835","-1907244254.76485","-1898241784.31148","-1724978180.94975","-1366094867.23348","-15915747.1054326","1582118744.77318","939088526.484933","-1246879676.83485",
"Brazil","BRA","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","-6968000000","-6520000000","-5049000000","-6996000000","-10516000000","-12831000000","-11764000000","-16317000000","-6834000000","33000000","-280000000","-5311000000","-1452000000","4156000000","1002000000","-3823000000","-1450000000","6089000000","20000000","-1153000000","-18136000000","-23248000000","-32133362814.2919","-34992880274.9427","-26783642462.7954","-26530848798.8242","-24890077179.8191","-9407043257.05195","2193173018.42129","8959313364.24297","11679374942.1176","10773999924.4617","-2753670195.51863","-35601727612.8429","-29328433093.6155","-86717778084.25","-83576205984.365","-92678171336.37","-88384030093.09","-110493241349.855","-63408884124.215","-30529374570.13","-25337408625.13","-54793943203.345","-68021678683.915","-28207552292.565","-46357789404.9","-48252882545.63","-30828236330.145",
"Barbados","BRB","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","-18259009.8699574","-26386397.5118068","-39578130.8052109","-46201972.601899","-42465732.2264967","-46479667.2181207","-50479865.5180473","-57664892.2329516","-46170238.1478838","-69864469.4","-47464982.8","-23647312.6000002","-42124306.6350001","-61041000","-132041000","-79733000","-87646500","-32790250","-5277999.9999998","40383211.9294946","-7650244.952138","55547125.1807925","29010255.5598289","-7130095.5970354","-19479304.4204158","146166971.696938","85054634.9323715","134089341.109443","936486.048999085","140864286.638673","-80150970.2093435","-106181127.821937","-132281342.191053","-102185303.181536","-111242365.711709","-144795834.45019","-188204341.519287","-437235618.857469","-495742535.692656","-442370494.173792","-347371226.136961","-431911348.774439","-381050945.366036","-272352980.335986","-173611506.825509","-448497185.12899","-252485397.907371","-645562541.15423","-98732451.6807095","-452390305.208517","-296395806.963393","","","","","","",
"Brunei Darussalam","BRN","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1951316867.87208","1755703211.92875","2484083056.19948","2882181878.80046","4032630648.98327","5229408432.08786","4828377151.61646","6938901523.91055","3977383595.39246","5016203728.47402","6430078160.74035","5683735282.5216","3778236925.05165","5250593999.71505","2156649811.85869","1469939557.95486","1984437361.8247","939946758.009005","893758524.377979","513713114.582241","1570169312.61882","3264028470.96588","",
"Bhutan","BTN","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-37902200.9039127","84937868.851584","-112487375.477322","-65940668.746959","-323097108.093479","-526214663.79524","-377036786.347723","-472191887.71836","-490282016.18854","-548326099.367138","-622690306.019587","-540419849.646596","-478153519.866952","-500801565.664002","-381152580.869852","-319279309.498254","-805723173.28916","-999998610.208381",
